county_fips,state,nation,plurality_share,n_tracts
01001,Alabama,DEEP SOUTH,1.0,12
01003,Alabama,DEEP SOUTH,1.0,32
01005,Alabama,DEEP SOUTH,1.0,9
01007,Alabama,DEEP SOUTH,1.0,4
01009,Alabama,GREATER APPALACHIA,1.0,9
01011,Alabama,DEEP SOUTH,1.0,3
01013,Alabama,DEEP SOUTH,1.0,9
01015,Alabama,DEEP SOUTH,1.0,31
01017,Alabama,DEEP SOUTH,1.0,9
01019,Alabama,GREATER APPALACHIA,1.0,6
01021,Alabama,DEEP SOUTH,1.0,9
01023,Alabama,DEEP SOUTH,1.0,4
01025,Alabama,DEEP SOUTH,1.0,9
01027,Alabama,DEEP SOUTH,1.0,4
01029,Alabama,DEEP SOUTH,1.0,4
01031,Alabama,DEEP SOUTH,1.0,14
01033,Alabama,GREATER APPALACHIA,1.0,14
01035,Alabama,DEEP SOUTH,1.0,5
01037,Alabama,DEEP SOUTH,1.0,3
01039,Alabama,DEEP SOUTH,1.0,14
01041,Alabama,DEEP SOUTH,1.0,6
01043,Alabama,GREATER APPALACHIA,1.0,18
01045,Alabama,DEEP SOUTH,1.0,14
01047,Alabama,DEEP SOUTH,1.0,15
01049,Alabama,GREATER APPALACHIA,1.0,14
01051,Alabama,DEEP SOUTH,1.0,15
01053,Alabama,DEEP SOUTH,1.0,9
01055,Alabama,GREATER APPALACHIA,1.0,30
01057,Alabama,GREATER APPALACHIA,1.0,5
01059,Alabama,GREATER APPALACHIA,1.0,9
01061,Alabama,DEEP SOUTH,1.0,6
01063,Alabama,DEEP SOUTH,1.0,3
01065,Alabama,DEEP SOUTH,1.0,6
01067,Alabama,DEEP SOUTH,1.0,6
01069,Alabama,DEEP SOUTH,1.0,22
01071,Alabama,GREATER APPALACHIA,1.0,11
01073,Alabama,DEEP SOUTH,1.0,163
01075,Alabama,GREATER APPALACHIA,1.0,3
01077,Alabama,GREATER APPALACHIA,1.0,22
01079,Alabama,GREATER APPALACHIA,1.0,9
01081,Alabama,DEEP SOUTH,1.0,27
01083,Alabama,GREATER APPALACHIA,1.0,16
01085,Alabama,DEEP SOUTH,1.0,4
01087,Alabama,DEEP SOUTH,1.0,12
01089,Alabama,GREATER APPALACHIA,1.0,73
01091,Alabama,DEEP SOUTH,1.0,6
01093,Alabama,GREATER APPALACHIA,1.0,8
01095,Alabama,GREATER APPALACHIA,1.0,18
01097,Alabama,DEEP SOUTH,1.0,115
01099,Alabama,DEEP SOUTH,1.0,7
01101,Alabama,DEEP SOUTH,1.0,65
01103,Alabama,GREATER APPALACHIA,1.0,27
01105,Alabama,DEEP SOUTH,1.0,3
01107,Alabama,DEEP SOUTH,1.0,5
01109,Alabama,DEEP SOUTH,1.0,8
01111,Alabama,DEEP SOUTH,1.0,6
01113,Alabama,DEEP SOUTH,1.0,13
01115,Alabama,DEEP SOUTH,1.0,13
01117,Alabama,DEEP SOUTH,1.0,48
01119,Alabama,DEEP SOUTH,1.0,4
01121,Alabama,DEEP SOUTH,1.0,22
01123,Alabama,DEEP SOUTH,1.0,10
01125,Alabama,DEEP SOUTH,1.0,47
01127,Alabama,GREATER APPALACHIA,1.0,18
01129,Alabama,DEEP SOUTH,1.0,5
01131,Alabama,DEEP SOUTH,1.0,4
01133,Alabama,GREATER APPALACHIA,1.0,7
02013,Alaska,NA,1.0,1
02016,Alaska,NA,1.0,2
02020,Alaska,NA,1.0,55
02050,Alaska,NA,1.0,3
02060,Alaska,NA,1.0,1
02068,Alaska,NA,1.0,1
02070,Alaska,NA,1.0,2
02090,Alaska,NA,1.0,19
02100,Alaska,NA,1.0,1
02105,Alaska,NA,1.0,2
02110,Alaska,NA,1.0,6
02122,Alaska,NA,1.0,13
02130,Alaska,NA,1.0,4
02150,Alaska,NA,1.0,5
02164,Alaska,NA,1.0,1
02170,Alaska,NA,1.0,24
02180,Alaska,NA,1.0,2
02185,Alaska,NA,1.0,3
02188,Alaska,NA,1.0,2
02195,Alaska,NA,1.0,1
02198,Alaska,NA,1.0,4
02220,Alaska,NA,1.0,2
02230,Alaska,NA,1.0,1
02240,Alaska,NA,1.0,2
02261,Alaska,NA,1.0,3
02270,Alaska,NA,1.0,1
02275,Alaska,NA,1.0,1
02282,Alaska,NA,1.0,1
02290,Alaska,NA,1.0,4
04001,Arizona,THE FAR WEST,1.0,16
04003,Arizona,EL NORTE,1.0,32
04005,Arizona,THE FAR WEST,1.0,28
04007,Arizona,THE FAR WEST,1.0,16
04009,Arizona,EL NORTE,1.0,9
04011,Arizona,EL NORTE,1.0,3
04012,Arizona,EL NORTE,1.0,9
04013,Arizona,EL NORTE,1.0,916
04015,Arizona,THE FAR WEST,1.0,43
04017,Arizona,THE FAR WEST,1.0,31
04019,Arizona,EL NORTE,1.0,241
04021,Arizona,EL NORTE,1.0,75
04023,Arizona,EL NORTE,1.0,10
04025,Arizona,THE FAR WEST,1.0,42
04027,Arizona,EL NORTE,1.0,55
05001,Arkansas,DEEP SOUTH,1.0,8
05003,Arkansas,DEEP SOUTH,1.0,7
05005,Arkansas,GREATER APPALACHIA,1.0,9
05007,Arkansas,GREATER APPALACHIA,1.0,49
05009,Arkansas,GREATER APPALACHIA,1.0,7
05011,Arkansas,DEEP SOUTH,1.0,5
05013,Arkansas,DEEP SOUTH,1.0,2
05015,Arkansas,GREATER APPALACHIA,1.0,5
05017,Arkansas,DEEP SOUTH,1.0,4
05019,Arkansas,DEEP SOUTH,1.0,5
05021,Arkansas,GREATER APPALACHIA,1.0,6
05023,Arkansas,GREATER APPALACHIA,1.0,7
05025,Arkansas,DEEP SOUTH,1.0,2
05027,Arkansas,DEEP SOUTH,1.0,5
05029,Arkansas,GREATER APPALACHIA,1.0,6
05031,Arkansas,DEEP SOUTH,1.0,17
05033,Arkansas,GREATER APPALACHIA,1.0,11
05035,Arkansas,DEEP SOUTH,1.0,20
05037,Arkansas,DEEP SOUTH,1.0,6
05039,Arkansas,DEEP SOUTH,1.0,3
05041,Arkansas,DEEP SOUTH,1.0,5
05043,Arkansas,DEEP SOUTH,1.0,5
05045,Arkansas,GREATER APPALACHIA,1.0,25
05047,Arkansas,GREATER APPALACHIA,1.0,3
05049,Arkansas,GREATER APPALACHIA,1.0,2
05051,Arkansas,GREATER APPALACHIA,1.0,20
05053,Arkansas,DEEP SOUTH,1.0,4
05055,Arkansas,GREATER APPALACHIA,1.0,9
05057,Arkansas,DEEP SOUTH,1.0,5
05059,Arkansas,GREATER APPALACHIA,1.0,7
05061,Arkansas,GREATER APPALACHIA,1.0,3
05063,Arkansas,GREATER APPALACHIA,1.0,8
05065,Arkansas,GREATER APPALACHIA,1.0,4
05067,Arkansas,GREATER APPALACHIA,1.0,5
05069,Arkansas,DEEP SOUTH,1.0,24
05071,Arkansas,GREATER APPALACHIA,1.0,6
05073,Arkansas,DEEP SOUTH,1.0,2
05075,Arkansas,GREATER APPALACHIA,1.0,6
05077,Arkansas,DEEP SOUTH,1.0,4
05079,Arkansas,DEEP SOUTH,1.0,4
05081,Arkansas,DEEP SOUTH,1.0,4
05083,Arkansas,GREATER APPALACHIA,1.0,6
05085,Arkansas,GREATER APPALACHIA,1.0,16
05087,Arkansas,GREATER APPALACHIA,1.0,4
05089,Arkansas,GREATER APPALACHIA,1.0,4
05091,Arkansas,DEEP SOUTH,1.0,12
05093,Arkansas,DEEP SOUTH,1.0,12
05095,Arkansas,DEEP SOUTH,1.0,3
05097,Arkansas,GREATER APPALACHIA,1.0,3
05099,Arkansas,DEEP SOUTH,1.0,3
05101,Arkansas,GREATER APPALACHIA,1.0,2
05103,Arkansas,DEEP SOUTH,1.0,6
05105,Arkansas,GREATER APPALACHIA,1.0,3
05107,Arkansas,DEEP SOUTH,1.0,6
05109,Arkansas,GREATER APPALACHIA,1.0,3
05111,Arkansas,DEEP SOUTH,1.0,7
05113,Arkansas,GREATER APPALACHIA,1.0,6
05115,Arkansas,GREATER APPALACHIA,1.0,11
05117,Arkansas,GREATER APPALACHIA,1.0,3
05119,Arkansas,GREATER APPALACHIA,1.0,95
05121,Arkansas,GREATER APPALACHIA,1.0,4
05123,Arkansas,DEEP SOUTH,1.0,6
05125,Arkansas,DEEP SOUTH,1.0,21
05127,Arkansas,GREATER APPALACHIA,1.0,3
05129,Arkansas,GREATER APPALACHIA,1.0,3
05131,Arkansas,GREATER APPALACHIA,1.0,26
05133,Arkansas,GREATER APPALACHIA,1.0,4
05135,Arkansas,GREATER APPALACHIA,1.0,4
05137,Arkansas,GREATER APPALACHIA,1.0,3
05139,Arkansas,DEEP SOUTH,1.0,10
05141,Arkansas,GREATER APPALACHIA,1.0,5
05143,Arkansas,GREATER APPALACHIA,1.0,32
05145,Arkansas,GREATER APPALACHIA,1.0,13
05147,Arkansas,DEEP SOUTH,1.0,2
05149,Arkansas,GREATER APPALACHIA,1.0,6
06001,California,THE LEFT COAST,1.0,361
06003,California,THE FAR WEST,1.0,1
06005,California,THE FAR WEST,1.0,9
06007,California,THE FAR WEST,1.0,51
06009,California,THE FAR WEST,1.0,10
06011,California,THE FAR WEST,1.0,5
06013,California,THE LEFT COAST,1.0,208
06015,California,THE LEFT COAST,1.0,8
06017,California,THE FAR WEST,1.0,43
06019,California,THE FAR WEST,1.0,199
06021,California,THE FAR WEST,1.0,6
06023,California,THE LEFT COAST,1.0,31
06025,California,EL NORTE,1.0,31
06027,California,THE FAR WEST,1.0,6
06029,California,THE FAR WEST,1.0,151
06031,California,THE FAR WEST,1.0,27
06033,California,THE FAR WEST,1.0,15
06035,California,THE FAR WEST,1.0,9
06037,California,EL NORTE,1.0,2346
06039,California,THE FAR WEST,1.0,23
06041,California,THE LEFT COAST,1.0,56
06043,California,THE FAR WEST,1.0,6
06045,California,THE LEFT COAST,1.0,21
06047,California,THE FAR WEST,1.0,49
06049,California,THE FAR WEST,1.0,4
06051,California,THE FAR WEST,1.0,3
06053,California,THE LEFT COAST,1.0,94
06055,California,THE LEFT COAST,1.0,40
06057,California,THE FAR WEST,1.0,20
06059,California,EL NORTE,1.0,583
06061,California,THE FAR WEST,1.0,85
06063,California,THE FAR WEST,1.0,7
06065,California,EL NORTE,1.0,453
06067,California,THE LEFT COAST,1.0,317
06069,California,THE LEFT COAST,1.0,11
06071,California,THE FAR WEST,1.0,369
06073,California,EL NORTE,1.0,628
06075,California,THE LEFT COAST,1.0,197
06077,California,THE FAR WEST,1.0,139
06079,California,EL NORTE,1.0,54
06081,California,THE LEFT COAST,1.0,158
06083,California,EL NORTE,1.0,90
06085,California,THE LEFT COAST,1.0,372
06087,California,THE LEFT COAST,1.0,53
06089,California,THE FAR WEST,1.0,48
06091,California,THE FAR WEST,1.0,1
06093,California,THE FAR WEST,1.0,14
06095,California,THE LEFT COAST,1.0,96
06097,California,THE LEFT COAST,1.0,100
06099,California,THE FAR WEST,1.0,94
06101,California,THE FAR WEST,1.0,21
06103,California,THE FAR WEST,1.0,11
06105,California,THE FAR WEST,1.0,5
06107,California,THE FAR WEST,1.0,78
06109,California,THE FAR WEST,1.0,11
06111,California,EL NORTE,1.0,174
06113,California,THE LEFT COAST,1.0,41
06115,California,THE FAR WEST,1.0,14
08001,Colorado,THE FAR WEST,1.0,97
08003,Colorado,EL NORTE,1.0,4
08005,Colorado,THE FAR WEST,1.0,147
08007,Colorado,THE FAR WEST,1.0,4
08009,Colorado,THE MIDLANDS,1.0,2
08011,Colorado,THE FAR WEST,1.0,1
