"Notes"	"County"	"County Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	466
	"Baldwin County, AL"	"01003"	"20-24 years"	"20-24"	2097
	"Baldwin County, AL"	"01003"	"25-29 years"	"25-29"	3194
	"Baldwin County, AL"	"01003"	"30-34 years"	"30-34"	2875
	"Baldwin County, AL"	"01003"	"35-39 years"	"35-39"	1330
	"Baldwin County, AL"	"01003"	"40-44 years"	"40-44"	281
	"Baldwin County, AL"	"01003"	"45-49 years"	"45-49"	14
	"Calhoun County, AL"	"01015"	"15-19 years"	"15-19"	341
	"Calhoun County, AL"	"01015"	"20-24 years"	"20-24"	1479
	"Calhoun County, AL"	"01015"	"25-29 years"	"25-29"	1692
	"Calhoun County, AL"	"01015"	"30-34 years"	"30-34"	1116
	"Calhoun County, AL"	"01015"	"35-39 years"	"35-39"	444
	"Calhoun County, AL"	"01015"	"40-44 years"	"40-44"	106
	"Etowah County, AL"	"01055"	"Under 15 years"	"15"	10
	"Etowah County, AL"	"01055"	"15-19 years"	"15-19"	401
	"Etowah County, AL"	"01055"	"20-24 years"	"20-24"	1354
	"Etowah County, AL"	"01055"	"25-29 years"	"25-29"	1501
	"Etowah County, AL"	"01055"	"30-34 years"	"30-34"	936
	"Etowah County, AL"	"01055"	"35-39 years"	"35-39"	401
	"Etowah County, AL"	"01055"	"40-44 years"	"40-44"	93
	"Houston County, AL"	"01069"	"15-19 years"	"15-19"	375
	"Houston County, AL"	"01069"	"20-24 years"	"20-24"	1397
	"Houston County, AL"	"01069"	"25-29 years"	"25-29"	1555
	"Houston County, AL"	"01069"	"30-34 years"	"30-34"	1221
	"Houston County, AL"	"01069"	"35-39 years"	"35-39"	451
	"Houston County, AL"	"01069"	"40-44 years"	"40-44"	104
	"Jefferson County, AL"	"01073"	"Under 15 years"	"15"	33
	"Jefferson County, AL"	"01073"	"15-19 years"	"15-19"	1488
	"Jefferson County, AL"	"01073"	"20-24 years"	"20-24"	5943
	"Jefferson County, AL"	"01073"	"25-29 years"	"25-29"	8850
	"Jefferson County, AL"	"01073"	"30-34 years"	"30-34"	9731
	"Jefferson County, AL"	"01073"	"35-39 years"	"35-39"	4581
	"Jefferson County, AL"	"01073"	"40-44 years"	"40-44"	871
	"Jefferson County, AL"	"01073"	"45-49 years"	"45-49"	48
	"Lee County, AL"	"01081"	"15-19 years"	"15-19"	370
	"Lee County, AL"	"01081"	"20-24 years"	"20-24"	1533
	"Lee County, AL"	"01081"	"25-29 years"	"25-29"	2545
	"Lee County, AL"	"01081"	"30-34 years"	"30-34"	2214
	"Lee County, AL"	"01081"	"35-39 years"	"35-39"	991
	"Lee County, AL"	"01081"	"40-44 years"	"40-44"	191
	"Madison County, AL"	"01089"	"15-19 years"	"15-19"	760
	"Madison County, AL"	"01089"	"20-24 years"	"20-24"	3136
	"Madison County, AL"	"01089"	"25-29 years"	"25-29"	5487
	"Madison County, AL"	"01089"	"30-34 years"	"30-34"	5555
	"Madison County, AL"	"01089"	"35-39 years"	"35-39"	2542
	"Madison County, AL"	"01089"	"40-44 years"	"40-44"	513
	"Madison County, AL"	"01089"	"45-49 years"	"45-49"	33
	"Mobile County, AL"	"01097"	"Under 15 years"	"15"	19
	"Mobile County, AL"	"01097"	"15-19 years"	"15-19"	1272
	"Mobile County, AL"	"01097"	"20-24 years"	"20-24"	4983
	"Mobile County, AL"	"01097"	"25-29 years"	"25-29"	6177
	"Mobile County, AL"	"01097"	"30-34 years"	"30-34"	4869
	"Mobile County, AL"	"01097"	"35-39 years"	"35-39"	2164
	"Mobile County, AL"	"01097"	"40-44 years"	"40-44"	431
	"Mobile County, AL"	"01097"	"45-49 years"	"45-49"	16
	"Montgomery County, AL"	"01101"	"Under 15 years"	"15"	20
	"Montgomery County, AL"	"01101"	"15-19 years"	"15-19"	819
	"Montgomery County, AL"	"01101"	"20-24 years"	"20-24"	2843
	"Montgomery County, AL"	"01101"	"25-29 years"	"25-29"	3321
	"Montgomery County, AL"	"01101"	"30-34 years"	"30-34"	2901
	"Montgomery County, AL"	"01101"	"35-39 years"	"35-39"	1375
	"Montgomery County, AL"	"01101"	"40-44 years"	"40-44"	267
	"Montgomery County, AL"	"01101"	"45-49 years"	"45-49"	14
	"Morgan County, AL"	"01103"	"15-19 years"	"15-19"	376
	"Morgan County, AL"	"01103"	"20-24 years"	"20-24"	1488
	"Morgan County, AL"	"01103"	"25-29 years"	"25-29"	1944
	"Morgan County, AL"	"01103"	"30-34 years"	"30-34"	1356
	"Morgan County, AL"	"01103"	"35-39 years"	"35-39"	568
	"Morgan County, AL"	"01103"	"40-44 years"	"40-44"	114
	"Shelby County, AL"	"01117"	"15-19 years"	"15-19"	258
	"Shelby County, AL"	"01117"	"20-24 years"	"20-24"	1378
	"Shelby County, AL"	"01117"	"25-29 years"	"25-29"	2912
	"Shelby County, AL"	"01117"	"30-34 years"	"30-34"	3072
	"Shelby County, AL"	"01117"	"35-39 years"	"35-39"	1487
	"Shelby County, AL"	"01117"	"40-44 years"	"40-44"	275
	"Shelby County, AL"	"01117"	"45-49 years"	"45-49"	13
	"Tuscaloosa County, AL"	"01125"	"15-19 years"	"15-19"	547
	"Tuscaloosa County, AL"	"01125"	"20-24 years"	"20-24"	2366
	"Tuscaloosa County, AL"	"01125"	"25-29 years"	"25-29"	3204
	"Tuscaloosa County, AL"	"01125"	"30-34 years"	"30-34"	2607
	"Tuscaloosa County, AL"	"01125"	"35-39 years"	"35-39"	1087
	"Tuscaloosa County, AL"	"01125"	"40-44 years"	"40-44"	213
	"Unidentified Counties, AL"	"01999"	"Under 15 years"	"15"	81
	"Unidentified Counties, AL"	"01999"	"15-19 years"	"15-19"	6317
	"Unidentified Counties, AL"	"01999"	"20-24 years"	"20-24"	25709
	"Unidentified Counties, AL"	"01999"	"25-29 years"	"25-29"	30114
	"Unidentified Counties, AL"	"01999"	"30-34 years"	"30-34"	20441
	"Unidentified Counties, AL"	"01999"	"35-39 years"	"35-39"	8173
	"Unidentified Counties, AL"	"01999"	"40-44 years"	"40-44"	1571
	"Unidentified Counties, AL"	"01999"	"45-49 years"	"45-49"	90
	"Anchorage Borough, AK"	"02020"	"15-19 years"	"15-19"	410
	"Anchorage Borough, AK"	"02020"	"20-24 years"	"20-24"	2687
	"Anchorage Borough, AK"	"02020"	"25-29 years"	"25-29"	3953
	"Anchorage Borough, AK"	"02020"	"30-34 years"	"30-34"	4195
	"Anchorage Borough, AK"	"02020"	"35-39 years"	"35-39"	2427
	"Anchorage Borough, AK"	"02020"	"40-44 years"	"40-44"	525
	"Anchorage Borough, AK"	"02020"	"45-49 years"	"45-49"	23
	"Unidentified Counties, AK"	"02999"	"Under 15 years"	"15"	10
	"Unidentified Counties, AK"	"02999"	"15-19 years"	"15-19"	984
	"Unidentified Counties, AK"	"02999"	"20-24 years"	"20-24"	4673
	"Unidentified Counties, AK"	"02999"	"25-29 years"	"25-29"	6572
	"Unidentified Counties, AK"	"02999"	"30-34 years"	"30-34"	6253
	"Unidentified Counties, AK"	"02999"	"35-39 years"	"35-39"	3240
	"Unidentified Counties, AK"	"02999"	"40-44 years"	"40-44"	684
	"Unidentified Counties, AK"	"02999"	"45-49 years"	"45-49"	42
	"Cochise County, AZ"	"04003"	"15-19 years"	"15-19"	310
	"Cochise County, AZ"	"04003"	"20-24 years"	"20-24"	1127
	"Cochise County, AZ"	"04003"	"25-29 years"	"25-29"	1482
	"Cochise County, AZ"	"04003"	"30-34 years"	"30-34"	1297
	"Cochise County, AZ"	"04003"	"35-39 years"	"35-39"	541
	"Cochise County, AZ"	"04003"	"40-44 years"	"40-44"	112
	"Cochise County, AZ"	"04003"	"45-49 years"	"45-49"	12
	"Coconino County, AZ"	"04005"	"15-19 years"	"15-19"	256
	"Coconino County, AZ"	"04005"	"20-24 years"	"20-24"	969
	"Coconino County, AZ"	"04005"	"25-29 years"	"25-29"	1409
	"Coconino County, AZ"	"04005"	"30-34 years"	"30-34"	1503
	"Coconino County, AZ"	"04005"	"35-39 years"	"35-39"	803
	"Coconino County, AZ"	"04005"	"40-44 years"	"40-44"	197
	"Maricopa County, AZ"	"04013"	"Under 15 years"	"15"	71
	"Maricopa County, AZ"	"04013"	"15-19 years"	"15-19"	8121
	"Maricopa County, AZ"	"04013"	"20-24 years"	"20-24"	36565
	"Maricopa County, AZ"	"04013"	"25-29 years"	"25-29"	59902
	"Maricopa County, AZ"	"04013"	"30-34 years"	"30-34"	59824
	"Maricopa County, AZ"	"04013"	"35-39 years"	"35-39"	30550
	"Maricopa County, AZ"	"04013"	"40-44 years"	"40-44"	6740
	"Maricopa County, AZ"	"04013"	"45-49 years"	"45-49"	433
	"Maricopa County, AZ"	"04013"	"50 years and over"	"50+"	53
	"Mohave County, AZ"	"04015"	"15-19 years"	"15-19"	429
	"Mohave County, AZ"	"04015"	"20-24 years"	"20-24"	1809
	"Mohave County, AZ"	"04015"	"25-29 years"	"25-29"	2174
	"Mohave County, AZ"	"04015"	"30-34 years"	"30-34"	1661
	"Mohave County, AZ"	"04015"	"35-39 years"	"35-39"	772
	"Mohave County, AZ"	"04015"	"40-44 years"	"40-44"	162
	"Navajo County, AZ"	"04017"	"Under 15 years"	"15"	11
	"Navajo County, AZ"	"04017"	"15-19 years"	"15-19"	358
	"Navajo County, AZ"	"04017"	"20-24 years"	"20-24"	1225
	"Navajo County, AZ"	"04017"	"25-29 years"	"25-29"	1367
	"Navajo County, AZ"	"04017"	"30-34 years"	"30-34"	1186
	"Navajo County, AZ"	"04017"	"35-39 years"	"35-39"	578
	"Navajo County, AZ"	"04017"	"40-44 years"	"40-44"	135
	"Pima County, AZ"	"04019"	"Under 15 years"	"15"	11
	"Pima County, AZ"	"04019"	"15-19 years"	"15-19"	1731
	"Pima County, AZ"	"04019"	"20-24 years"	"20-24"	7886
	"Pima County, AZ"	"04019"	"25-29 years"	"25-29"	11488
	"Pima County, AZ"	"04019"	"30-34 years"	"30-34"	11454
	"Pima County, AZ"	"04019"	"35-39 years"	"35-39"	5630
	"Pima County, AZ"	"04019"	"40-44 years"	"40-44"	1269
	"Pima County, AZ"	"04019"	"45-49 years"	"45-49"	81
	"Pinal County, AZ"	"04021"	"Under 15 years"	"15"	10
	"Pinal County, AZ"	"04021"	"15-19 years"	"15-19"	1007
	"Pinal County, AZ"	"04021"	"20-24 years"	"20-24"	4326
	"Pinal County, AZ"	"04021"	"25-29 years"	"25-29"	7090
	"Pinal County, AZ"	"04021"	"30-34 years"	"30-34"	5676
	"Pinal County, AZ"	"04021"	"35-39 years"	"35-39"	2324
	"Pinal County, AZ"	"04021"	"40-44 years"	"40-44"	521
	"Pinal County, AZ"	"04021"	"45-49 years"	"45-49"	23
	"Yavapai County, AZ"	"04025"	"15-19 years"	"15-19"	355
	"Yavapai County, AZ"	"04025"	"20-24 years"	"20-24"	1570
	"Yavapai County, AZ"	"04025"	"25-29 years"	"25-29"	2172
	"Yavapai County, AZ"	"04025"	"30-34 years"	"30-34"	1862
	"Yavapai County, AZ"	"04025"	"35-39 years"	"35-39"	887
	"Yavapai County, AZ"	"04025"	"40-44 years"	"40-44"	202
	"Yavapai County, AZ"	"04025"	"45-49 years"	"45-49"	15
	"Yuma County, AZ"	"04027"	"15-19 years"	"15-19"	690
	"Yuma County, AZ"	"04027"	"20-24 years"	"20-24"	2775
	"Yuma County, AZ"	"04027"	"25-29 years"	"25-29"	3642
	"Yuma County, AZ"	"04027"	"30-34 years"	"30-34"	2819
	"Yuma County, AZ"	"04027"	"35-39 years"	"35-39"	1253
	"Yuma County, AZ"	"04027"	"40-44 years"	"40-44"	239
	"Yuma County, AZ"	"04027"	"45-49 years"	"45-49"	18
	"Unidentified Counties, AZ"	"04999"	"15-19 years"	"15-19"	723
	"Unidentified Counties, AZ"	"04999"	"20-24 years"	"20-24"	2627
	"Unidentified Counties, AZ"	"04999"	"25-29 years"	"25-29"	2986
	"Unidentified Counties, AZ"	"04999"	"30-34 years"	"30-34"	2360
	"Unidentified Counties, AZ"	"04999"	"35-39 years"	"35-39"	1088
	"Unidentified Counties, AZ"	"04999"	"40-44 years"	"40-44"	246
	"Unidentified Counties, AZ"	"04999"	"45-49 years"	"45-49"	10
	"Benton County, AR"	"05007"	"15-19 years"	"15-19"	605
	"Benton County, AR"	"05007"	"20-24 years"	"20-24"	2823
	"Benton County, AR"	"05007"	"25-29 years"	"25-29"	4750
	"Benton County, AR"	"05007"	"30-34 years"	"30-34"	4833
	"Benton County, AR"	"05007"	"35-39 years"	"35-39"	2084
	"Benton County, AR"	"05007"	"40-44 years"	"40-44"	432
	"Benton County, AR"	"05007"	"45-49 years"	"45-49"	11
	"Faulkner County, AR"	"05045"	"15-19 years"	"15-19"	274
	"Faulkner County, AR"	"05045"	"20-24 years"	"20-24"	1392
	"Faulkner County, AR"	"05045"	"25-29 years"	"25-29"	2005
	"Faulkner County, AR"	"05045"	"30-34 years"	"30-34"	1522
	"Faulkner County, AR"	"05045"	"35-39 years"	"35-39"	612
	"Faulkner County, AR"	"05045"	"40-44 years"	"40-44"	105
	"Pulaski County, AR"	"05119"	"Under 15 years"	"15"	24
	"Pulaski County, AR"	"05119"	"15-19 years"	"15-19"	1161
	"Pulaski County, AR"	"05119"	"20-24 years"	"20-24"	4398
	"Pulaski County, AR"	"05119"	"25-29 years"	"25-29"	5580
	"Pulaski County, AR"	"05119"	"30-34 years"	"30-34"	5219
	"Pulaski County, AR"	"05119"	"35-39 years"	"35-39"	2525
	"Pulaski County, AR"	"05119"	"40-44 years"	"40-44"	507
	"Pulaski County, AR"	"05119"	"45-49 years"	"45-49"	17
	"Saline County, AR"	"05125"	"15-19 years"	"15-19"	266
	"Saline County, AR"	"05125"	"20-24 years"	"20-24"	1212
	"Saline County, AR"	"05125"	"25-29 years"	"25-29"	1864
	"Saline County, AR"	"05125"	"30-34 years"	"30-34"	1515
	"Saline County, AR"	"05125"	"35-39 years"	"35-39"	634
	"Saline County, AR"	"05125"	"40-44 years"	"40-44"	122
	"Sebastian County, AR"	"05131"	"15-19 years"	"15-19"	413
	"Sebastian County, AR"	"05131"	"20-24 years"	"20-24"	1708
	"Sebastian County, AR"	"05131"	"25-29 years"	"25-29"	2038
	"Sebastian County, AR"	"05131"	"30-34 years"	"30-34"	1427
	"Sebastian County, AR"	"05131"	"35-39 years"	"35-39"	601
	"Sebastian County, AR"	"05131"	"40-44 years"	"40-44"	134
	"Washington County, AR"	"05143"	"15-19 years"	"15-19"	724
	"Washington County, AR"	"05143"	"20-24 years"	"20-24"	2838
	"Washington County, AR"	"05143"	"25-29 years"	"25-29"	4031
	"Washington County, AR"	"05143"	"30-34 years"	"30-34"	3622
	"Washington County, AR"	"05143"	"35-39 years"	"35-39"	1594
	"Washington County, AR"	"05143"	"40-44 years"	"40-44"	353
	"Washington County, AR"	"05143"	"45-49 years"	"45-49"	16
	"Unidentified Counties, AR"	"05999"	"Under 15 years"	"15"	85
	"Unidentified Counties, AR"	"05999"	"15-19 years"	"15-19"	6315
	"Unidentified Counties, AR"	"05999"	"20-24 years"	"20-24"	22976
	"Unidentified Counties, AR"	"05999"	"25-29 years"	"25-29"	23900
	"Unidentified Counties, AR"	"05999"	"30-34 years"	"30-34"	15187
	"Unidentified Counties, AR"	"05999"	"35-39 years"	"35-39"	6234
	"Unidentified Counties, AR"	"05999"	"40-44 years"	"40-44"	1310
	"Unidentified Counties, AR"	"05999"	"45-49 years"	"45-49"	57
	"Alameda County, CA"	"06001"	"Under 15 years"	"15"	20
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	1156
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	5350
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	11704
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	24219
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	18487
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	4444
